dataset,pixel_id,lat,lon,n_events,variance_full_series,ac1_full_series,lambda_ar1_full_series
GPP,60,51.625,-92.625,0,1.4068200882604555e-05,0.20745610803628015,1.5733633553190056
GPP,61,51.875,-88.625,1,1.2392806452440093e-05,0.2740273526753416,1.2945269072819827
GPP,62,52.125,-91.375,1,1.5031387912286586e-05,0.23443982596140364,1.4505638612642218
GPP,63,52.375,-91.625,1,1.1189626406746929e-05,0.1617922330268291,1.8214379352465777
GPP,64,52.625,-99.625,1,5.7496170814613174e-06,0.2455035248521342,1.4044618455731215
GPP,65,52.625,-97.125,1,8.357071186296073e-06,0.24121991906152776,1.4220411295926147
GPP,66,53.125,-93.625,1,6.637199660510707e-06,0.20288775412376595,1.5951175916479414
GPP,67,53.375,-95.125,1,1.0019993804078155e-05,0.2695474439943947,1.3115681059388236
GPP,68,53.875,-94.375,1,4.969097811126108e-06,0.21343578317575562,1.5444520286009198
GPP,69,54.625,-99.375,1,1.338254520775866e-05,0.15989479586320546,1.8332556239419389
GPP,70,51.625,-66.875,1,7.95274577846945e-06,0.14992932520165797,1.8975941689874323
GPP,71,51.625,-58.625,1,1.031119663614685e-05,0.15493812144518254,1.8647052375824988
GPP,72,51.625,-58.375,1,1.0060592294994738e-05,0.1776670377092767,1.7278209805208735
GPP,73,51.625,-57.875,0,1.0530445521509602e-05,0.2744772104949696,1.292893313894529
GPP,74,51.875,-59.375,1,7.548062393019418e-06,0.19286477630826954,1.6457645887018466
GPP,75,52.375,-61.125,1,7.5082408892739245e-06,0.22552017883504108,1.4893358167008737
GPP,76,52.875,-61.875,1,8.05425324088577e-06,0.15753046080909033,1.8480124545671397
GPP,77,53.125,-60.375,1,1.0387864135123594e-05,0.19971510045408933,1.6108416744178344
GPP,78,53.625,-60.875,1,6.884124488027118e-06,0.22225549688663898,1.5036212532453472
GPP,79,54.625,-60.625,1,7.589330932650919e-06,0.2408298700946134,1.4236427986767215
GPP,80,60.375,-150.375,1,7.929679519549888e-06,0.30299838991424355,1.1940221984581536
GPP,81,60.375,-150.125,0,1.0337810167688551e-05,0.34038442426944127,1.0776951138079822
GPP,82,60.625,-151.125,0,1.5152765197597068e-05,0.01681289726287682,4.085608684393649
GPP,83,60.875,-150.375,1,1.1151127685293944e-05,0.2191883833859835,1.51782698067654
GPP,84,60.875,-147.625,1,2.273317909363284e-06,0.48496676051392246,0.7236780520138429
GPP,85,61.125,-160.875,0,7.800908842814895e-06,0.3718924220466617,0.9891778426732573
GPP,86,61.125,-144.375,1,5.303853896604134e-06,0.46633667508039267,0.7628497063303951
GPP,87,61.375,-160.625,0,9.740124581398432e-06,0.3629355755278107,1.013535251892872
GPP,88,61.625,-157.125,0,1.0703437391915043e-05,0.301194029350882,1.2000135111240573
GPP,89,62.375,-160.125,1,1.0935742952341732e-05,0.282472392975202,1.2641776982369815
GPP,90,57.125,-122.375,1,8.786565067985628e-06,0.06936152150754596,2.6684131214600293
GPP,91,58.375,-123.875,0,1.1846989663050554e-05,0.19137898370026732,1.6535050439394186
GPP,92,58.625,-134.875,0,4.762474640953636e-06,0.2980645870408368,1.2104422262016064
GPP,93,58.875,-124.375,0,9.897577583333661e-06,0.16707011051631215,1.7893234963031648
GPP,94,59.125,-128.875,1,8.002090202503877e-06,0.17177448137101836,1.7615786023155902
GPP,95,59.625,-125.375,0,1.1917855934937385e-05,0.08011016384563568,2.5243535195583666
GPP,96,59.875,-125.875,1,1.2398223793228048e-05,0.0953705615517728,2.3499883205143206
GPP,97,60.125,-127.875,1,1.1507814421265548e-05,0.09640164747687664,2.339236103147732
GPP,98,60.375,-126.875,1,1.0355525309210046e-05,0.08012856910407101,2.524119931132203
GPP,99,60.625,-123.875,1,1.070816318460789e-05,0.038130523375223366,3.2667360543101887
GPP,100,57.125,-113.125,1,1.1598352062508154e-05,0.1633769290954122,1.8117372460380479
GPP,101,57.375,-116.625,1,1.4499581873553021e-05,0.1397662176540833,1.9677822836782248
GPP,102,57.375,-116.375,1,1.4611048730696817e-05,0.1095333535550233,2.2113466098886634
GPP,103,57.625,-117.625,1,1.0942955586553564e-05,0.08650664223698387,2.4475907792932037
GPP,104,57.875,-113.375,1,1.182978131186925e-05,0.12762780510132682,2.05858214271217
GPP,105,58.375,-115.375,1,1.081475735799506e-05,0.1391792763790939,1.9720020426040286
GPP,106,58.625,-116.625,0,1.2367881123693641e-05,0.13521933259034558,2.0008637710808785
GPP,107,58.875,-114.125,1,9.888829478967676e-06,0.13644495921751953,1.9918517299778662
GPP,108,59.125,-119.125,1,8.774762269161218e-06,-0.012144550976169713,
GPP,109,59.125,-117.375,1,9.7731046461227e-06,0.06038492971385788,2.8069951748503907
GPP,110,63.125,-159.875,1,1.1106268695852303e-05,0.29088916949122057,1.2348166965439906
GPP,111,63.125,-154.125,1,9.12361106270655e-06,0.07619111483623944,2.5745033280515988
GPP,112,63.375,-154.875,1,8.829300898743379e-06,0.09333390325880635,2.371573826619166
GPP,113,63.625,-153.875,1,9.25383100733735e-06,0.07247136050027495,2.6245648622738935
GPP,114,65.375,-142.375,1,7.519043323953271e-06,0.09717855110383167,2.331186825512816
GPP,115,65.875,-142.625,1,8.011793696004829e-06,0.09608342248725227,2.342535061577227
GPP,116,66.125,-153.625,1,1.0651680577529092e-05,0.2617731459750457,1.340274305689518
GPP,117,66.125,-142.625,1,8.519002105427179e-06,0.013252844145599959,4.323541854623536
GPP,118,66.625,-153.875,1,1.0598638146855673e-05,0.31516817907852557,1.1546458183766484
GPP,119,67.125,-151.125,1,6.970240940014704e-06,0.30589951038855256,1.1844994730074447
GPP,120,62.625,-136.375,0,6.341853742437754e-06,0.2739862594769698,1.2946853839302521
GPP,121,62.875,-137.375,1,7.460607740615178e-06,0.20976581279772658,1.5617542293465958
GPP,122,63.125,-140.125,1,8.354868398945867e-06,0.1348910268001315,2.0032881970114507
GPP,123,63.125,-135.375,0,6.084632758368257e-06,0.18961109845967675,1.662779787789404
GPP,124,63.375,-139.625,1,5.925931519647799e-06,0.1354752279164409,1.998965621423929
GPP,125,63.375,-136.875,0,8.238207295049058e-06,0.1885459333166386,1.6684131845796577
GPP,126,63.375,-132.625,0,5.944842971124103e-06,0.19848892502285884,1.6170216583844093
GPP,127,63.875,-125.375,1,8.55511946398012e-06,0.16634645987700933,1.7936822452855015
GPP,128,64.375,-125.375,1,6.190542067956663e-06,0.21235962164265867,1.549473970440737
GPP,129,67.875,-134.875,1,4.012750593302684e-06,0.22931384607068628,1.472663722824058
